,Date,Inflation_Rate,Prime_Rate,Crude_prices,10_year_bond,manu_labor_rate,CAD_M1_MoneySupply,USD_CAD_rate,SNP_TSX_Close
0,2000-01,1.5,6.5,25.51,6.4915,18.25,216688000000.0,1.4482259902,8481.099609
1,2000-02,1.8,6.75,27.78,6.338571429,18.33,221673000000.0,1.4503407322381,9129.0
2,2000-03,1.8,7.0,27.49,6.02826087,18.23,225082000000.0,1.46035444669565,9462.400391
3,2000-04,1.4,7.0,22.76,5.924210526,18.27,228485000000.0,1.4683048305,9347.599609
4,2000-05,1.6,7.5,27.74,6.215,18.42,228101000000.0,1.49478053527273,9252.0
5,2000-06,1.7,7.5,29.8,5.895454545,18.28,230062000000.0,1.47670108727273,10195.5
6,2000-07,1.8,7.5,28.68,5.8635,18.31,231897000000.0,1.47802067609524,10406.299805
7,2000-08,1.9,7.5,30.2,5.766363636,18.33,232699000000.0,1.48226044134783,11247.900391
8,2000-09,1.8,7.5,33.14,5.7295,18.25,235280000000.0,1.48519488555,10377.900391
9,2000-10,1.7,7.5,30.96,5.723333333,18.25,237172000000.0,1.51196474963636,9639.599609
10,2000-11,1.9,7.5,32.55,5.727142857,18.23,238162000000.0,1.54268092757143,8819.900391
11,2000-12,1.9,7.5,25.66,5.402105263,18.33,241495000000.0,1.5224434587,8933.700195
12,2001-01,2.2,7.25,25.62,5.418636364,18.34,241236000000.0,1.50279914645455,9321.900391
13,2001-02,2.1,7.25,27.5,5.43,18.14,244021000000.0,1.52309773135,8078.700195
14,2001-03,2.1,6.75,24.5,5.301363636,18.23,246074000000.0,1.55839912240909,7608.0
15,2001-04,2.4,6.5,25.66,5.5915,18.33,247510000000.0,1.55817782915,7946.600098
16,2001-05,2.4,6.25,28.31,5.851363636,18.52,251786000000.0,1.54102991991304,8161.899902
17,2001-06,2.4,6.25,27.85,5.718095238,18.65,250389000000.0,1.52446485914286,7736.399902
18,2001-07,2.5,6.0,24.61,5.80047619,18.37,252626000000.0,1.52937082986364,7689.700195
19,2001-08,2.5,5.75,25.68,5.530909091,18.34,253387000000.0,1.53889624056522,7399.200195
20,2001-09,2.5,5.25,25.62,5.302631579,18.36,259557000000.00003,1.56669978435,6838.600098
21,2001-10,2.5,4.5,20.54,5.232727273,18.3,260571000000.00003,1.57079018217391,6885.700195
22,2001-11,2.3,4.0,18.8,5.177142857,18.46,265155000000.0,1.59011189368182,7425.700195
23,2001-12,2.4,4.0,18.71,5.408421053,18.62,269505000000.0,1.577009054,7688.399902
24,2002-01,2.3,3.75,19.42,5.343636364,18.6,271787000000.0,1.59912731042857,7648.5
25,2002-02,2.4,3.75,20.28,5.321,18.5,272881000000.0,1.5962820821,7637.5
26,2002-03,2.4,3.75,23.7,5.667,18.3,274278000000.00003,1.5861408127619,7851.5
27,2002-04,2.5,4.0,25.73,5.658636364,18.28,275020000000.0,1.58081362195455,7663.399902
28,2002-05,2.3,4.0,25.35,5.595909091,18.56,275200000000.0,1.55018139904348,7656.100098
29,2002-06,2.3,4.25,24.08,5.424,18.69,277003000000.0,1.53095145545,7145.600098
30,2002-07,2.3,4.5,25.74,5.290454545,19.07,278738000000.0,1.54520627586957,6605.399902
31,2002-08,2.4,4.5,26.65,5.12047619,18.21,281298000000.0,1.56880214413636,6612.0
32,2002-09,2.3,4.5,28.4,4.8855,18.58,282817000000.0,1.5746910927619,6180.399902
33,2002-10,2.2,4.5,27.54,5.127272727,18.83,284626000000.0,1.57795724082609,6248.799805
34,2002-11,2.5,4.5,24.34,5.0895,18.96,284463000000.0,1.57156358366667,6570.399902
35,2002-12,2.3,4.5,28.33,4.9675,18.83,283074000000.0,1.55872269515789,6614.5
36,2003-01,2.5,4.5,31.18,4.961818182,18.75,283707000000.0,1.53997062113636,6569.5
37,2003-02,2.5,4.5,32.77,5.012,19.06,283112000000.0,1.51195073345,6555.100098
38,2003-03,2.4,4.75,30.61,4.997142857,18.84,283057000000.0,1.4752132502381,6343.299805
39,2003-04,2.0,5.0,25.0,5.051904762,19.16,282288000000.0,1.45712247840909,6586.100098
40,2003-05,2.0,5.0,25.86,4.671904762,19.22,284292000000.0,1.38313513459091,6859.799805
41,2003-06,2.0,5.0,27.65,4.288095238,19.52,286165000000.0,1.35173424066667,6983.100098
42,2003-07,1.9,4.75,28.35,4.683181818,19.49,291375000000.0,1.37991292273913,7257.899902
43,2003-08,1.9,4.75,29.89,4.902,19.53,293614000000.0,1.39497838285714,7510.299805
44,2003-09,2.0,4.5,27.11,4.757142857,19.78,294963000000.0,1.36345263422727,7421.100098
45,2003-10,2.0,4.5,29.61,4.815454545,19.7,294154000000.0,1.32272553030435,7772.700195
46,2003-11,1.8,4.5,28.75,4.856842105,19.84,295696000000.0,1.3119394746,7859.399902
47,2003-12,2.0,4.5,29.81,4.729047619,19.94,297280000000.0,1.31215870195238,8220.900391
48,2004-01,1.7,4.25,31.28,4.586190476,20.11,300740000000.0,1.29607889571429,8521.400391
49,2004-02,1.6,4.25,30.86,4.4515,20.03,303689000000.0,1.3286038153,8788.5
50,2004-03,1.7,4.0,33.63,4.260434783,19.92,306122000000.0,1.32795310113043,8585.900391
51,2004-04,2.0,3.75,33.59,4.612857143,19.71,309306000000.0,1.34114026018182,8244.0
52,2004-05,2.0,3.75,37.57,4.773,20.16,313952000000.0,1.37738823204762,8417.299805
53,2004-06,2.0,3.75,35.18,4.932727273,20.0,315344000000.0,1.35804805781818,8545.599609
54,2004-07,1.9,3.75,38.22,4.75,19.77,315878000000.0,1.32242954095455,8458.099609
55,2004-08,1.9,3.75,42.74,4.630952381,20.02,316026000000.0,1.31272423927273,8377.0
56,2004-09,1.8,4.0,43.2,4.602380952,19.7,316179000000.0,1.28748604195455,8668.299805
57,2004-10,1.9,4.25,49.78,4.55,20.23,317248000000.0,1.24745142552381,8871.0
58,2004-11,2.0,4.25,43.11,4.484761905,20.41,317483000000.0,1.19588253331818,9030.099609
59,2004-12,2.0,4.25,39.6,4.32047619,20.31,321653000000.0,1.21794257178261,9246.700195
60,2005-01,2.0,4.25,44.51,4.2605,20.62,324382000000.0,1.22479893166667,9204.099609
61,2005-02,2.0,4.25,45.48,4.205,20.6,326783000000.0,1.23788242865,9668.299805
62,2005-03,2.0,4.25,53.1,4.358181818,20.34,328193000000.0,1.21538963243478,9612.400391
63,2005-04,2.0,4.25,51.88,4.193809524,20.65,330593000000.0,1.23664066547619,9369.299805
64,2005-05,1.9,4.25,48.65,4.073809524,20.32,333187000000.0,1.25387067736364,9607.299805
65,2005-06,2.0,4.25,54.35,3.828181818,20.6,333710000000.0,1.24034910831818,9902.799805
66,2005-07,2.1,4.25,57.52,3.8995,20.33,332110000000.0,1.22723169809524,10422.900391
67,2005-08,2.2,4.25,63.98,3.920454545,20.5,331882000000.0,1.20497266821739,10668.900391
68,2005-09,2.2,4.5,62.91,3.868571429,20.99,335806000000.0,1.17798262236364,11011.799805
69,2005-10,2.0,4.75,58.54,4.047,20.74,337808000000.0,1.178071209,10383.299805
70,2005-11,2.0,4.75,55.24,4.107142857,20.55,338801000000.0,1.18123798613636,10824.099609
71,2005-12,2.0,5.0,56.86,4.041,20.48,340190000000.0,1.162057111,11272.299805
72,2006-01,2.1,5.25,62.99,4.029047619,20.42,343239000000.0,1.15708621668182,11945.599609
73,2006-02,2.1,5.25,60.21,4.17,20.54,348088000000.0,1.14895882105,11688.299805
74,2006-03,2.0,5.5,62.06,4.199565217,20.51,350940000000.0,1.15732184304348,12110.599609
75,2006-04,1.9,5.75,70.26,4.415789474,20.44,353340000000.0,1.1438478842,12204.200195
76,2006-05,2.0,6.0,69.78,4.399545455,20.4,358142000000.0,1.10922145104348,11744.5
77,2006-06,1.8,6.0,68.56,4.441363636,20.11,359272000000.0,1.11409280713636,11612.900391
78,2006-07,2.0,6.0,73.67,4.444,20.29,362166000000.0,1.12894207757143,11831.0
