Date,Inflationrate,"Measure of core inflation based on a weighted median approach, CPI-median (year-over-year percent change) 2 3 6 7","Measure of core inflation based on a trimmed mean approach, CPI-trim (year-over-year percent change) 2 3 6 8",CPI,"Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada 9","Consumer Price Index (CPI), all-items excluding the effect of indirect taxes 10","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada and excluding the effect of changes in indirect taxes, seasonally adjusted 9","Consumer Price Index (CPI), all-items excluding eight of the most volatile components as defined by the Bank of Canada, seasonally adjusted 9","Consumer Price Index (CPI), all-items excluding the effect of indirect taxes, seasonally adjusted 10"
2000-05-01,1.6,1.4,1.6,95.5,95.5,95.4,95.4,95.4,95.3
2000-06-01,1.7,1.6,1.8,95.8,95.8,96,95.6,95.7,95.8
2000-07-01,1.8,1.6,1.8,95.8,95.9,96.3,95.7,95.7,96.1
2000-08-01,1.9,1.7,1.9,96,96,96.2,95.9,95.9,96.1
2000-09-01,1.8,1.6,1.8,96.2,96.2,96.6,96,96,96.5
2000-10-01,1.7,1.7,1.9,96.3,96.3,96.8,96.2,96.2,96.8
2000-11-01,1.9,1.8,2,96.4,96.4,97.1,96.4,96.4,97.2
2000-12-01,1.9,1.9,2.1,96.4,96.4,97.2,96.7,96.7,97.4
2001-01-01,2.2,2,2.2,96.3,96.3,96.8,96.7,96.7,97.2
2001-02-01,2.1,2.1,2.2,96.6,96.6,97.3,96.7,96.7,97.5
2001-03-01,2.1,2.1,2.1,97.1,97,97.6,97.1,97,97.7
2001-04-01,2.4,2.2,2.4,97.4,97.4,98.2,97.4,97.3,98.2
2001-05-01,2.4,2.3,2.4,97.7,97.7,99,97.6,97.6,98.8
2001-06-01,2.4,2.2,2.4,97.9,97.9,99.1,97.8,97.8,98.9
2001-07-01,2.5,2.3,2.4,98.2,98.2,98.8,98.1,98.1,98.6
2001-08-01,2.5,2.3,2.4,98.3,98.2,98.8,98.2,98.1,98.7
2001-09-01,2.5,2.3,2.3,98.4,98.4,99,98.2,98.2,98.9
2001-10-01,2.5,2.2,2.2,98.4,98.4,98.5,98.3,98.3,98.6
2001-11-01,2.3,2,1.9,98.1,98.1,97.5,98.1,98.1,97.6
2001-12-01,2.4,2,1.9,98,98,97.7,98.2,98.3,97.9
2002-01-01,2.3,2.1,2,98.1,98.1,97.9,98.5,98.5,98.3
2002-02-01,2.4,2,2,98.8,98.8,98.5,98.9,98.9,98.8
2002-03-01,2.4,2,2,99.2,99.2,99.1,99.1,99.2,99.2
2002-04-01,2.5,2,2.1,99.6,99.6,99.6,99.5,99.5,99.6
2002-05-01,2.3,2,2,99.8,99.8,99.8,99.7,99.7,99.6
2002-06-01,2.3,2.1,2,100,100,99.9,99.9,99.9,99.7
2002-07-01,2.3,2,1.9,100.2,100.3,100.3,100.2,100.2,100.1
2002-08-01,2.4,2.2,2.1,100.7,100.7,100.7,100.7,100.6,100.6
2002-09-01,2.3,2.2,2.1,100.9,100.9,100.7,100.7,100.7,100.6
2002-10-01,2.2,2.1,2.1,100.9,100.9,101,100.8,100.8,101.1
2002-11-01,2.5,2.2,2.3,101.2,101.2,101.3,101.2,101.2,101.4
2002-12-01,2.3,2.2,2.2,100.7,100.7,100.9,100.9,100.9,101.2
2003-01-01,2.5,2.2,2.2,101.3,101.3,101.8,101.7,101.7,102.2
2003-02-01,2.5,2.4,2.3,101.8,101.9,102.6,101.9,102,102.9
2003-03-01,2.4,2.4,2.2,102,102,102.9,101.9,101.9,102.9
2003-04-01,2,2.2,2,101.7,101.6,102.2,101.6,101.6,102.1
2003-05-01,2,2.2,2,102.2,102.1,102.3,102,102,102
2003-06-01,2,2,1.9,102.1,102,102.3,102,102,102.1
2003-07-01,1.9,2.1,1.9,102.1,102.1,102.4,102.1,102.1,102.2
2003-08-01,1.9,1.9,1.7,102.2,102.2,102.7,102.2,102.2,102.6
2003-09-01,2,1.9,1.8,102.6,102.6,102.9,102.4,102.5,102.8
2003-10-01,2,1.9,1.7,102.7,102.7,102.6,102.7,102.7,102.7
2003-11-01,1.8,1.9,1.7,103,103,102.9,102.9,102.9,103
2003-12-01,2,1.9,1.7,102.8,102.8,103,103,103,103.3
2004-01-01,1.7,1.8,1.7,102.8,102.8,103.1,103.1,103.2,103.5
2004-02-01,1.6,1.6,1.6,103,103,103.3,103.1,103.1,103.6
2004-03-01,1.7,1.5,1.5,103.3,103.3,103.6,103.2,103.2,103.6
2004-04-01,2,1.6,1.6,103.5,103.5,103.8,103.4,103.4,103.7
2004-05-01,2,1.7,1.6,103.7,103.7,104.7,103.6,103.6,104.4
2004-06-01,2,1.7,1.7,103.8,103.8,104.8,103.8,103.8,104.6
2004-07-01,1.9,1.6,1.7,104,104,104.7,104,104,104.5
2004-08-01,1.9,1.6,1.7,103.8,103.8,104.5,103.8,103.9,104.3
2004-09-01,1.8,1.7,1.7,104.1,104.2,104.7,104,104.1,104.6
2004-10-01,1.9,1.7,1.8,104.1,104.2,104.9,104.2,104.2,105.1
2004-11-01,2,1.8,1.8,104.7,104.6,105.3,104.5,104.5,105.5
2004-12-01,2,1.9,1.8,104.6,104.6,105.1,104.7,104.7,105.5
2005-01-01,2,1.8,1.7,104.5,104.5,105,104.8,104.8,105.4
2005-02-01,2,1.8,1.7,104.8,104.8,105.4,104.9,104.9,105.8
2005-03-01,2,2,1.9,105.2,105.2,106,105.1,105.1,106
2005-04-01,2,1.9,1.8,105.2,105.2,106.3,105.2,105.2,106.2
2005-05-01,1.9,1.8,1.8,105.4,105.4,106.4,105.2,105.2,106
2005-06-01,2,1.9,1.8,105.4,105.4,106.6,105.4,105.4,106.3
2005-07-01,2.1,1.8,1.7,105.4,105.4,106.8,105.4,105.4,106.5
2005-08-01,2.2,1.8,1.7,105.6,105.6,107.2,105.7,105.6,107
2005-09-01,2.2,1.9,1.7,105.9,105.9,108.1,105.8,105.8,108
2005-10-01,2,1.9,1.7,105.9,105.9,107.6,105.9,105.9,107.8
2005-11-01,2,1.8,1.7,106.3,106.4,107.4,106.2,106.2,107.6
2005-12-01,2,1.8,1.7,106.2,106.2,107.3,106.4,106.4,107.8
2006-01-01,2.1,1.8,1.8,106.2,106.2,107.9,106.5,106.5,108.4
2006-02-01,2.1,1.8,1.8,106.6,106.6,107.7,106.6,106.6,108.1
2006-03-01,2,1.9,1.8,107,107,108.3,106.8,106.9,108.3
2006-04-01,1.9,1.8,1.8,106.9,106.9,108.9,106.9,106.9,108.8
2006-05-01,2,2,1.9,107.5,107.5,109.4,107.4,107.3,108.9
2006-06-01,1.8,1.8,1.8,107.2,107.2,109.2,107.3,107.2,108.8
2006-07-01,2,2,2,107.5,107,109.8,107.6,107,109.4
2006-08-01,2.1,2,2.1,107.7,107.2,110,107.8,107.2,109.8
2006-09-01,2.1,2.1,2.3,108.3,107.7,109.4,108.1,107.5,109.3
2006-10-01,2.3,2.1,2.4,108.4,107.8,109.2,108.4,107.8,109.5
2006-11-01,2.4,2.2,2.5,108.6,108,109.5,108.5,107.9,109.8
2006-12-01,2.2,2.2,2.5,108.4,107.8,109.7,108.6,108,110.3
2007-01-01,2.2,2.3,2.5,108.6,108,109.7,108.9,108.3,110.3
2007-02-01,2.5,2.5,2.8,109.1,108.5,110.5,109.2,108.6,110.9
2007-03-01,2.5,2.4,2.8,109.5,108.9,111.4,109.4,108.8,111.4
2007-04-01,2.6,2.5,2.8,109.6,109,111.9,109.6,109,111.8
2007-05-01,2.6,2.5,2.8,109.9,109.3,112.4,109.7,109.1,111.9
2007-06-01,2.6,2.7,2.9,109.9,109.3,112.1,109.9,109.3,111.7
2007-07-01,2.6,2.6,2.7,110,109.4,112.3,110.1,109.5,111.8
2007-08-01,2.4,2.5,2.5,110.1,109.5,112,110.1,109.5,111.8
2007-09-01,2.4,2.6,2.5,110.5,109.9,112.2,110.3,109.6,112.1
2007-10-01,2.3,2.5,2.3,110.3,109.7,111.8,110.2,109.6,112.1
2007-11-01,2.2,2.3,2.2,110.3,109.7,112.2,110,109.4,112.5
2007-12-01,2.3,2.4,2.2,110,109.4,112.3,110.2,109.6,112.9
2008-01-01,2.4,2.5,2.3,110.1,108.9,112.7,110.5,109.3,113.4
2008-02-01,2.3,2.5,2.2,110.7,109.4,113.1,110.8,109.5,113.4
2008-03-01,2.2,2.4,2,110.9,109.6,113.5,110.9,109.7,113.5
2008-04-01,2.3,2.5,2.3,111.2,109.9,114.4,111.1,109.9,114.2
2008-05-01,2.4,2.4,2.3,111.5,110.2,115.5,111.3,110.1,114.9
2008-06-01,2.7,2.5,2.3,111.6,110.3,116.3,111.5,110.2,115.8
2008-07-01,2.7,2.6,2.4,111.7,110.4,116.7,111.8,110.4,116.2
2008-08-01,2.8,2.7,2.6,112,110.7,116.5,112,110.7,116.3
2008-09-01,3.1,2.6,2.5,112.4,111.1,116.6,112.3,110.9,116.5
2008-10-01,3.1,2.6,2.5,112.2,110.9,115.4,112.1,110.8,115.7
2008-11-01,3.3,2.7,2.7,113,111.7,115,112.8,111.4,115.3
2008-12-01,3.2,2.7,2.6,112.6,111.3,114.2,112.8,111.5,114.9
2009-01-01,3.1,2.5,2.4,112.2,110.8,113.9,112.6,111.2,114.6
2009-02-01,3.1,2.5,2.4,112.8,111.5,114.7,112.9,111.6,115
2009-03-01,3.3,2.5,2.4,113.1,111.8,114.9,113,111.7,114.9
2009-04-01,3.1,2.2,2,113.2,111.8,114.8,113.2,111.8,114.6
2009-05-01,3.2,2.2,2,113.7,112.4,115.6,113.5,112.2,115
2009-06-01,3.1,2.1,1.9,113.7,112.4,116,113.7,112.4,115.5
2009-07-01,2.7,1.9,1.6,113.7,112.3,115.6,113.8,112.4,115.2
2009-08-01,2.4,1.7,1.5,113.8,112.5,115.6,113.9,112.5,115.5
2009-09-01,2.4,1.7,1.3,114.1,112.7,115.6,113.9,112.5,115.6
2009-10-01,2.4,1.7,1.4,114.2,112.9,115.5,114.1,112.7,115.7
2009-11-01,2.1,1.8,1.4,114.7,113.4,116.1,114.5,113.1,116.3
2009-12-01,1.9,1.7,1.3,114.3,113,115.7,114.6,113.3,116.4
2010-01-01,1.8,1.7,1.3,114.4,113,116,114.8,113.5,116.7
2010-02-01,1.7,1.7,1.3,115.2,113.9,116.5,115.3,114,116.7
2010-03-01,1.5,1.5,1.1,115,113.7,116.5,115.1,113.7,116.4
2010-04-01,1.4,1.7,1.3,115.3,113.9,116.9,115.2,113.8,116.7
